S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
252,Central Area,Category 1,>100 - 200,105.3,Q2 2018
253,Central Area,Category 1,>1000,99.04,Q2 2018
254,Central Area,Category 1,>200 - 500,102.24,Q2 2018
255,Central Area,Category 1,>500 - 1000,110.87,Q2 2018
256,Central Area,Category 2,100 & Below,58.67,Q2 2018
257,Central Area,Category 2,>100 - 200,65.98,Q2 2018
258,Central Area,Category 2,>1000,77.05,Q2 2018
259,Central Area,Category 2,>200 - 500,70.51,Q2 2018
260,Central Area,Category 2,>500 - 1000,67.75,Q2 2018
261,Central Area,Category 1,100 & Below,102.26,Q3 2018
262,Central Area,Category 1,>100 - 200,99.02,Q3 2018
263,Central Area,Category 1,>1000,108.78,Q3 2018
264,Central Area,Category 1,>200 - 500,107.45,Q3 2018
265,Central Area,Category 1,>500 - 1000,98.78,Q3 2018
266,Central Area,Category 2,100 & Below,59.34,Q3 2018
267,Central Area,Category 2,>100 - 200,69.67,Q3 2018
268,Central Area,Category 2,>1000,74.98,Q3 2018
269,Central Area,Category 2,>200 - 500,68.88,Q3 2018
270,Central Area,Category 2,>500 - 1000,68.35,Q3 2018
271,Central Area,Category 1,100 & Below,104.98,Q4 2018
272,Central Area,Category 1,>100 - 200,99.04,Q4 2018
273,Central Area,Category 1,>1000,103.62,Q4 2018
274,Central Area,Category 1,>200 - 500,102.79,Q4 2018
275,Central Area,Category 1,>500 - 1000,105.28,Q4 2018
276,Central Area,Category 2,100 & Below,58.16,Q4 2018
277,Central Area,Category 2,>100 - 200,67.8,Q4 2018
278,Central Area,Category 2,>1000,72.72,Q4 2018
279,Central Area,Category 2,>200 - 500,70.93,Q4 2018
280,Central Area,Category 2,>500 - 1000,75.34,Q4 2018
281,Central Area,Category 1,100 & Below,101.18,Q1 2019
282,Central Area,Category 1,>100 - 200,102.25,Q1 2019
283,Central Area,Category 1,>1000,124.32,Q1 2019
284,Central Area,Category 1,>200 - 500,107.64,Q1 2019
285,Central Area,Category 1,>500 - 1000,113.03,Q1 2019
286,Central Area,Category 2,100 & Below,56.94,Q1 2019
287,Central Area,Category 2,>100 - 200,62,Q1 2019
288,Central Area,Category 2,>1000,81.81,Q1 2019
289,Central Area,Category 2,>200 - 500,72.66,Q1 2019
290,Central Area,Category 2,>500 - 1000,75.35,Q1 2019
291,Central Area,Category 1,100 & Below,102.25,Q2 2019
292,Central Area,Category 1,>100 - 200,106.34,Q2 2019
293,Central Area,Category 1,>1000,98.06,Q2 2019
294,Central Area,Category 1,>200 - 500,107.64,Q2 2019
295,Central Area,Category 1,>500 - 1000,99.6,Q2 2019
296,Central Area,Category 2,100 & Below,58.13,Q2 2019
297,Central Area,Category 2,>100 - 200,65.19,Q2 2019
298,Central Area,Category 2,>1000,80.73,Q2 2019
299,Central Area,Category 2,>200 - 500,69.96,Q2 2019
300,Central Area,Category 2,>500 - 1000,83.16,Q2 2019
301,Central Area,Category 1,100 & Below,99.6,Q3 2019
302,Central Area,Category 1,>100 - 200,109.69,Q3 2019
